Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,21.333,CHI,,GNB,L 20-38,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,4,84,21.00,0,0,0,0,0,0,0,13,18%,0,0%,11,39%,
2,2023,2023-09-17,2,2,21.340,CHI,@,TAM,L 17-27,,,,,,,0.0%,,,,,,,,,,,,,,,,12,23%,0,0%,4,15%,
3,2023,2023-09-24,3,3,21.347,CHI,@,KAN,L 10-41,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,0,0,0,0,10,20%,0,0%,3,12%,
4,2023,2023-10-01,4,4,21.354,CHI,,DEN,L 28-31,,0,0,0,,0,0.0%,,2,19,9.50,0,0,0,,0,0,0,0,0,0,0,14,19%,0,0%,5,19%,
5,2023,2023-10-05,5,5,21.358,CHI,@,WAS,W 40-20,,,,,,,0.0%,,,,,,,,,,,,,,,,15,23%,0,0%,9,30%,
6,2023,2023-10-15,6,6,22.003,CHI,,MIN,L 13-19,,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,0,0,0,0,39,59%,0,0%,4,15%,
7,2023,2023-10-22,7,7,22.010,CHI,,LVR,W 30-12,,3,2,19,9.50,0,66.7%,6.33,2,14,7.00,0,0,0,,0,0,0,0,0,0,0,40,56%,0,0%,6,26%,
8,2023,2023-10-29,8,8,22.017,CHI,@,LAC,L 13-30,,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,0,0,0,0,38,58%,0,0%,3,14%,
9,2023,2023-11-05,9,9,22.024,CHI,@,NOR,L 17-24,,2,0,0,,0,0.0%,0.00,1,-5,-5.00,0,0,0,,0,0,0,0,0,0,0,40,59%,0,0%,5,21%,
10,2023,2023-11-09,10,10,22.028,CHI,,CAR,W 16-13,*,1,1,15,15.00,0,100.0%,15.00,1,16,16.00,0,1,24,24.00,0,0,0,0,0,0,0,28,39%,0,0%,4,14%,
11,2023,2023-11-19,11,11,22.038,CHI,@,DET,L 26-31,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,1,1,0,0,0,0,27,36%,0,0%,1,4%,
12,2023,2023-11-27,12,12,22.046,CHI,@,MIN,W 12-10,*,,,,,,0.0%,,,,,,,,,,,,,,,,12,17%,0,0%,0,0%,
13,2023,2023-12-10,13,14,22.059,CHI,,DET,W 28-13,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,0,0,0,0,26,37%,0,0%,0,0%,
14,2023,2023-12-17,14,15,22.066,CHI,@,CLE,L 17-20,,4,3,49,16.33,0,75.0%,12.25,1,-3,-3.00,0,0,0,,0,0,0,0,0,0,0,37,51%,0,0%,0,0%,
15,2023,2023-12-24,15,16,22.073,CHI,,ARI,W 27-16,,,,,,,0.0%,,,,,,,,,,,,,,,,29,41%,0,0%,0,0%,
16,2023,2023-12-31,16,17,22.080,CHI,,ATL,W 37-17,*,5,2,15,7.50,0,40.0%,3.00,0,0,,0,0,0,,0,0,0,0,0,0,0,44,59%,0,0%,0,0%,
17,2023,2024-01-07,17,18,22.087,CHI,@,GNB,L 9-17,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,0,0,0,0,15,31%,0,0%,0,0%,
18,2024,2024-09-08,1,1,,CHI,,TEN,W 24-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2024,2024-09-15,2,2,22.339,CHI,@,HOU,L 13-19,,,,,,,0.0%,,,,,,,,,,,,,,,,3,4%,0,0%,0,0%,
20,2024,2024-09-22,3,3,22.346,CHI,@,IND,L 16-21,,,,,,,0.0%,,,,,,,,,,,,,,,,2,2%,0,0%,0,0%,
21,2024,2024-09-29,4,4,22.353,CHI,,LAR,W 24-18,,,,,,,0.0%,,,,,,,,,,,,,,,,2,3%,0,0%,0,0%,
22,2024,2024-10-06,5,5,22.360,CHI,,CAR,W 36-10,,,,,,,0.0%,,,,,,,,,,,,,,,,3,4%,0,0%,0,0%,
23,2024,2024-10-13,6,6,23.001,CHI,,JAX,W 35-16,,,,,,,0.0%,,,,,,,,,,,,,,,,3,5%,0,0%,3,13%,
24,2024,2024-10-27,7,8,,CHI,@,WAS,L 15-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2024,2024-11-03,8,9,23.022,CHI,@,ARI,L 9-29,,,,,,,0.0%,,,,,,,,,,,,,,,,1,1%,0,0%,2,7%,
26,2024,2024-11-10,9,10,,CHI,,NWE,L 3-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
