Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,22.235,PHI,@,NWE,W 25-20,,0.0,1,0,1,0,0,0,0,0,0,0,0%,7,9%,13,45%
2,2023,2023-09-14,2,2,22.239,PHI,,MIN,W 34-28,,,,,,,,,,,,0,0%,6,10%,12,41%
3,2023,2023-09-25,3,3,22.250,PHI,@,TAM,W 25-11,,0.0,0,0,0,0,1,0,0,0,0,0,0%,6,13%,13,65%
4,2023,2023-10-01,4,4,22.256,PHI,,WAS,W 34-31,,,,,,,,,,,,0,0%,9,12%,17,55%
5,2023,2023-10-08,5,5,22.263,PHI,@,LAR,W 23-14,,0.0,0,1,1,0,0,0,0,0,0,0,0%,8,14%,12,60%
6,2023,2023-10-15,6,6,22.270,PHI,@,NYJ,L 14-20,,,,,,,,,,,,0,0%,3,5%,11,50%
7,2023,2023-10-22,7,7,22.277,PHI,,MIA,W 31-17,,1.0,2,0,2,1,1,0,0,0,0,0,0%,4,8%,13,59%
8,2023,2023-10-29,8,8,22.284,PHI,@,WAS,W 38-31,,0.0,2,0,2,0,0,0,0,0,0,0,0%,4,6%,15,54%
9,2023,2023-11-05,9,9,22.291,PHI,,DAL,W 28-23,,0.0,1,0,1,0,0,0,0,0,0,0,0%,9,12%,11,46%
10,2023,2023-11-20,10,11,22.306,PHI,@,KAN,W 21-17,,0.0,0,0,0,0,0,0,0,0,0,0,0%,5,6%,14,54%
11,2023,2023-11-26,11,12,22.312,PHI,,BUF,W 37-34,,,,,,,,,,,,0,0%,11,12%,18,50%
12,2023,2023-12-03,12,13,22.319,PHI,,SFO,L 19-42,,0.0,1,1,2,0,0,0,0,0,0,0,0%,11,19%,17,65%
13,2023,2023-12-10,13,14,22.326,PHI,@,DAL,L 13-33,,0.0,0,0,0,0,0,0,0,0,0,0,0%,21,26%,15,60%
14,2023,2023-12-18,14,15,22.334,PHI,@,SEA,L 17-20,,0.0,2,1,3,0,0,0,0,0,0,0,0%,9,15%,14,52%
15,2023,2023-12-25,15,16,22.341,PHI,,NYG,W 33-25,,0.0,1,1,2,0,0,0,0,0,0,0,0%,17,27%,18,62%
16,2023,2023-12-31,16,17,22.347,PHI,,ARI,L 31-35,,0.0,0,3,3,0,0,0,0,0,0,0,0%,17,22%,15,60%
17,2023,2024-01-07,17,18,22.354,PHI,@,NYG,L 10-27,,0.0,0,1,1,0,1,0,0,0,0,0,0%,41,61%,17,65%
18,2024,2024-09-06,1,1,23.232,PHI,,GNB,W 34-29,,0.0,0,2,2,0,0,0,0,0,0,0,0%,31,46%,10,32%
19,2024,2024-09-16,2,2,23.242,PHI,,ATL,L 21-22,,0.0,1,0,1,0,0,0,0,0,0,0,0%,23,38%,7,32%
20,2024,2024-09-22,3,3,23.248,PHI,@,NOR,W 15-12,,0.0,2,1,3,0,0,0,0,0,0,0,0%,21,38%,5,30%
21,2024,2024-09-29,4,4,23.255,PHI,@,TAM,L 16-33,,0.0,1,3,4,0,0,0,0,0,0,0,0%,31,40%,3,11%
22,2024,2024-10-13,5,6,23.269,PHI,,CLE,W 20-16,,1.0,2,1,3,0,1,0,0,0,0,0,0%,21,37%,5,19%
23,2024,2024-10-20,6,7,23.276,PHI,@,NYG,W 28-3,*,1.0,2,0,2,2,1,0,0,0,0,0,0%,26,45%,6,19%
24,2024,2024-10-27,7,8,23.283,PHI,@,CIN,W 37-17,,0.5,0,2,2,0,1,0,0,0,1,0,0%,30,52%,8,33%
25,2024,2024-11-03,8,9,23.290,PHI,,JAX,W 28-23,*,0.0,1,1,2,0,0,0,0,0,0,0,0%,22,41%,6,26%
26,2024,2024-11-10,9,10,23.297,PHI,@,DAL,W 34-6,*,0.0,1,1,2,1,0,0,0,0,0,0,0%,22,37%,0,0%
27,2024,2024-11-14,10,11,23.301,PHI,,WAS,W 26-18,*,1.0,2,1,3,1,1,0,0,0,0,0,0%,33,50%,3,11%
