Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,21.165,CAR,@,NOR,L 10-47,*,1,1,4,4.0,0,100.0%,4.0,0,0,0,0,0,0,0,0,43.0,73%,0.0,0%,12.0,40%
2.0,2024.0,2024-09-15,2.0,2.0,21.172,CAR,,LAC,L 3-26,,2,2,8,4.0,0,100.0%,4.0,0,0,0,0,0,0,0,0,24.0,50%,0.0,0%,7.0,29%
3.0,2024.0,2024-09-22,3.0,3.0,21.179,CAR,@,LVR,W 36-22,,1,0,0,,0,0.0%,0.0,0,0,0,0,0,0,0,0,26.0,35%,0.0,0%,10.0,33%
4.0,2024.0,2024-09-29,4.0,4.0,21.186,CAR,,CIN,L 24-34,*,2,2,16,8.0,0,100.0%,8.0,0,0,0,0,0,0,0,0,20.0,29%,0.0,0%,11.0,39%
5.0,2024.0,2024-10-06,5.0,5.0,21.193,CAR,@,CHI,L 10-36,,5,3,13,4.33,0,60.0%,2.6,0,0,0,0,0,0,0,0,45.0,75%,0.0,0%,9.0,35%
6.0,2024.0,2024-10-13,6.0,6.0,21.2,CAR,,ATL,L 20-38,*,7,5,49,9.8,0,71.4%,7.0,0,0,1,0,0,0,0,0,48.0,73%,0.0,0%,4.0,15%
7.0,2024.0,2024-10-20,7.0,7.0,21.207,CAR,@,WAS,L 7-40,*,6,6,61,10.17,0,100.0%,10.17,0,0,0,0,0,1,2,0,32.0,74%,0.0,0%,10.0,38%
8.0,2024.0,2024-10-27,8.0,8.0,21.214,CAR,@,DEN,L 14-28,,1,1,7,7.0,0,100.0%,7.0,0,0,0,0,0,0,0,0,22.0,36%,0.0,0%,6.0,25%
9.0,2024.0,2024-11-03,9.0,9.0,21.221,CAR,,NOR,W 23-22,*,5,4,87,21.75,0,80.0%,17.4,0,0,0,0,0,0,0,0,45.0,85%,0.0,0%,2.0,7%
10.0,2024.0,2024-11-10,10.0,10.0,21.228,CAR,,NYG,W 20-17,,2,2,8,4.0,1,100.0%,4.0,1,6,0,0,0,0,0,0,53.0,88%,0.0,0%,4.0,13%
11.0,2024.0,2024-11-24,11.0,12.0,21.242,CAR,,KAN,L 27-30,*,3,3,49,16.33,0,100.0%,16.33,0,0,0,0,0,0,0,0,12.0,19%,0.0,0%,6.0,22%
