Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,24.137,LAR,@,SEA,W 30-13,,0.5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,29,57%,4,14%
2,2023,2023-09-17,2,2,24.144,LAR,,SFO,L 23-30,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,49%,7,25%
3,2023,2023-09-25,3,3,24.152,LAR,@,CIN,L 16-19,,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,62%,6,19%
4,2023,2023-10-01,4,4,24.158,LAR,@,IND,W 29-23,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,53%,2,7%
5,2023,2023-10-08,5,5,24.165,LAR,,PHI,L 14-23,,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,52%,5,25%
6,2023,2023-10-15,6,6,24.172,LAR,,ARI,W 26-9,*,0.0,2,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,56,74%,3,11%
7,2023,2023-10-22,7,7,24.179,LAR,,PIT,L 17-24,*,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,78%,5,19%
8,2023,2023-10-29,8,8,24.186,LAR,@,DAL,L 20-43,*,0.0,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,38,58%,7,23%
9,2023,2023-11-05,9,9,24.193,LAR,@,GNB,L 3-20,*,1.0,7,3,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,62,86%,5,22%
10,2023,2023-11-19,10,11,24.207,LAR,,SEA,W 17-16,,0.0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,55%,5,19%
11,2023,2023-11-26,11,12,24.214,LAR,@,ARI,W 37-14,,2.0,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,31,44%,3,11%
12,2023,2023-12-03,12,13,24.221,LAR,,CLE,W 36-19,,1.5,1,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,37,52%,6,18%
13,2023,2023-12-10,13,14,24.228,LAR,@,BAL,L 31-37,,0.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,42,58%,7,19%
14,2023,2023-12-17,14,15,24.235,LAR,,WAS,W 28-20,,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,35,58%,4,15%
15,2023,2023-12-21,15,16,24.239,LAR,,NOR,W 30-22,,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,60%,3,13%
16,2023,2023-12-31,16,17,24.249,LAR,@,NYG,W 26-25,,2.5,3,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,61,82%,7,23%
17,2023,2024-01-07,17,18,24.256,LAR,@,SFO,W 21-20,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,37,61%,5,26%
18,2024,2024-09-08,1,1,25.135,LAR,@,DET,L 20-26,*,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,92%,7,27%
19,2024,2024-09-15,2,2,25.142,LAR,@,ARI,L 10-41,*,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,55,83%,7,28%
20,2024,2024-09-22,3,3,25.149,LAR,,SFO,W 27-24,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,80%,5,19%
21,2024,2024-09-29,4,4,25.156,LAR,@,CHI,L 18-24,*,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,83%,5,19%
22,2024,2024-10-06,5,5,25.163,LAR,,GNB,L 19-24,*,2.0,5,1,6,2,2,0,0,0,1,0,0,1,0,0,0,0,0%,48,81%,4,18%
23,2024,2024-10-20,6,7,25.177,LAR,,LVR,W 20-15,*,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,78%,7,25%
24,2024,2024-10-24,7,8,25.181,LAR,,MIN,W 30-20,*,0.0,3,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,82%,4,16%
25,2024,2024-11-03,8,9,25.191,LAR,@,SEA,W 26-20,*,1.0,3,3,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,59,74%,6,19%
26,2024,2024-11-11,9,10,25.199,LAR,,MIA,L 15-23,*,1.0,5,1,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0%,42,79%,5,18%
27,2024,2024-11-17,10,11,25.205,LAR,@,NWE,W 28-22,*,0.0,3,4,7,1,1,0,0,0,1,0,0,0,1,0,0,0,0%,59,78%,6,22%
28,2024,2024-11-24,11,12,25.212,LAR,,PHI,L 20-37,*,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,71%,7,25%
